2	2	0.0
2	4	0.0
2	8	0.0
2	11	0.0
2	16	0.0
2	22	0.0
2	44	0.0
2	88	0.0
2	176	0.0

3	2	0.0
3	4	0.0
3	8	0.0
3	11	0.0
3	16	0.0
3	22	0.0
3	44	0.0
3	88	0.0
3	176	0.0

4	2	0.0
4	4	0.0
4	8	0.0
4	11	0.0
4	16	0.0
4	22	0.0
4	44	0.0
4	88	0.0
4	176	0.0

8	2	0.0
8	4	0.0
8	8	0.0
8	11	0.0
8	16	0.0
8	22	0.0
8	44	0.0
8	88	0.0
8	176	0.0

9	2	0.0
9	4	0.0
9	8	0.0
9	11	0.0
9	16	0.0
9	22	0.0
9	44	0.0
9	88	0.0
9	176	0.0

12	2	0.0
12	4	0.0
12	8	0.0
12	11	0.0
12	16	0.0
12	22	0.0
12	44	0.0
12	88	0.0
12	176	0.0

16	2	0.0
16	4	0.0
16	8	0.0
16	11	0.0
16	16	0.0
16	22	0.0
16	44	0.0
16	88	0.0
16	176	0.0

18	2	0.0
18	4	0.0
18	8	0.0
18	11	0.0
18	16	0.0
18	22	0.0
18	44	0.0
18	88	0.0
18	176	0.0

23	2	0.0
23	4	0.0
23	8	0.0
23	11	0.0
23	16	0.0
23	22	0.0
23	44	0.0
23	88	0.0
23	176	0.0

36	2	0.0
36	4	0.0
36	8	0.0
36	11	0.0
36	16	0.0
36	22	0.0
36	44	0.0
36	88	0.0
36	176	0.0

46	2	0.0
46	4	0.0
46	8	0.0
46	11	0.0
46	16	0.0
46	22	0.0
46	44	0.0
46	88	0.0
46	176	0.0

72	2	0.0
72	4	0.0
72	8	0.0
72	11	0.0
72	16	0.0
72	22	0.0
72	44	0.0
72	88	0.0
72	176	0.0

144	2	0.0
144	4	0.0
144	8	0.0
144	11	0.0
144	16	0.0
144	22	0.0
144	44	0.0
144	88	0.0
144	176	0.0

